集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,01,北海道,I,卸売業，小売業,～19歳,16.05,7.33,199.93
2010,01,北海道,I,卸売業，小売業,20～24歳,18.7,23.92,248.32
2010,01,北海道,I,卸売業，小売業,25～29歳,21.37,39.04,295.48
2010,01,北海道,I,卸売業，小売業,30～34歳,23.89,44.45,331.13
2010,01,北海道,I,卸売業，小売業,35～39歳,27.12,65.59,391.03
2010,01,北海道,I,卸売業，小売業,40～44歳,30.77,86.76,456
2010,01,北海道,I,卸売業，小売業,45～49歳,33.65,95.09,498.89
2010,01,北海道,I,卸売業，小売業,50～54歳,33.96,94.18,501.7
2010,01,北海道,I,卸売業，小売業,55～59歳,34.95,96.9,516.3
2010,01,北海道,I,卸売業，小売業,60～64歳,23.5,46.98,328.98
2010,01,北海道,I,卸売業，小売業,65～69歳,21.26,18.44,273.56
2010,01,北海道,I,卸売業，小売業,70歳～,17.87,27.55,241.99
2010,01,北海道,J,金融業，保険業,年齢計,31.93,109.93,493.09
2010,01,北海道,J,金融業，保険業,～19歳,15.55,12.45,199.05
2010,01,北海道,J,金融業，保険業,20～24歳,18.58,42.43,265.39
2010,01,北海道,J,金融業，保険業,25～29歳,22.38,71.16,339.72
2010,01,北海道,J,金融業，保険業,30～34歳,25.07,84.12,384.96
2010,01,北海道,J,金融業，保険業,35～39歳,29.5,100.55,454.55
2010,01,北海道,J,金融業，保険業,40～44歳,35.19,124.79,547.07
2010,01,北海道,J,金融業，保険業,45～49歳,41.16,151.51,645.43
2010,01,北海道,J,金融業，保険業,50～54歳,42.46,164.21,673.73
2010,01,北海道,J,金融業，保険業,55～59歳,41.21,152.09,646.61
2010,01,北海道,J,金融業，保険業,60～64歳,26.67,72.06,392.1
2010,01,北海道,J,金融業，保険業,65～69歳,25.69,52.74,361.02
2010,01,北海道,J,金融業，保険業,70歳～,32.5,75.91,465.91
2010,01,北海道,K,不動産業，物品賃貸業,年齢計,27.45,80.12,409.52
2010,01,北海道,K,不動産業，物品賃貸業,～19歳,15.12,9.71,191.15
2010,01,北海道,K,不動産業，物品賃貸業,20～24歳,19.19,35.89,266.17
2010,01,北海道,K,不動産業，物品賃貸業,25～29歳,20.32,37.12,280.96
2010,01,北海道,K,不動産業，物品賃貸業,30～34歳,23.41,62.6,343.52
2010,01,北海道,K,不動産業，物品賃貸業,35～39歳,27.38,76.54,405.1
2010,01,北海道,K,不動産業，物品賃貸業,40～44歳,29.93,91.71,450.87
2010,01,北海道,K,不動産業，物品賃貸業,45～49歳,31.93,103.11,486.27
2010,01,北海道,K,不動産業，物品賃貸業,50～54歳,37.73,128.18,580.94
2010,01,北海道,K,不動産業，物品賃貸業,55～59歳,35.09,120.64,541.72
2010,01,北海道,K,不動産業，物品賃貸業,60～64歳,23.9,74.47,361.27
2010,01,北海道,K,不動産業，物品賃貸業,65～69歳,13.77,10.55,175.79
2010,01,北海道,K,不動産業，物品賃貸業,70歳～,12.56,0,150.72
2010,01,北海道,L,学術研究，専門・技術サービス業,年齢計,31.98,97.64,481.4
2010,01,北海道,L,学術研究，専門・技術サービス業,～19歳,16.44,29.82,227.1
2010,01,北海道,L,学術研究，専門・技術サービス業,20～24歳,18.95,37.98,265.38
2010,01,北海道,L,学術研究，専門・技術サービス業,25～29歳,23.23,60.19,338.95
2010,01,北海道,L,学術研究，専門・技術サービス業,30～34歳,27.65,69.22,401.02
2010,01,北海道,L,学術研究，専門・技術サービス業,35～39歳,28.84,84.58,430.66
2010,01,北海道,L,学術研究，専門・技術サービス業,40～44歳,36.11,112.58,545.9
2010,01,北海道,L,学術研究，専門・技術サービス業,45～49歳,36.27,129.35,564.59
2010,01,北海道,L,学術研究，専門・技術サービス業,50～54歳,45.48,194.12,739.88
2010,01,北海道,L,学術研究，専門・技術サービス業,55～59歳,39.49,125.35,599.23
2010,01,北海道,L,学術研究，専門・技術サービス業,60～64歳,34.94,61.17,480.45
2010,01,北海道,L,学術研究，専門・技術サービス業,65～69歳,29.09,28.73,377.81
2010,01,北海道,L,学術研究，専門・技術サービス業,70歳～,-,-,-
2010,01,北海道,M,宿泊業，飲食サービス業,年齢計,21.02,24.56,276.8
2010,01,北海道,M,宿泊業，飲食サービス業,～19歳,14.21,9.75,180.27
2010,01,北海道,M,宿泊業，飲食サービス業,20～24歳,16.35,20.32,216.52
2010,01,北海道,M,宿泊業，飲食サービス業,25～29歳,17.82,15.08,228.92
2010,01,北海道,M,宿泊業，飲食サービス業,30～34歳,21.17,15.67,269.71
2010,01,北海道,M,宿泊業，飲食サービス業,35～39歳,21.15,26.18,279.98
2010,01,北海道,M,宿泊業，飲食サービス業,40～44歳,25.81,52.82,362.54
2010,01,北海道,M,宿泊業，飲食サービス業,45～49歳,23.62,36.72,320.16
2010,01,北海道,M,宿泊業，飲食サービス業,50～54歳,24.71,32.33,328.85
2010,01,北海道,M,宿泊業，飲食サービス業,55～59歳,25.44,26.61,331.89
2010,01,北海道,M,宿泊業，飲食サービス業,60～64歳,18.65,6.69,230.49
2010,01,北海道,M,宿泊業，飲食サービス業,65～69歳,15.7,5.53,193.93
2010,01,北海道,M,宿泊業，飲食サービス業,70歳～,13,9.41,165.41
2010,01,北海道,N,生活関連サービス業，娯楽業,年齢計,21.68,28.82,288.98
2010,01,北海道,N,生活関連サービス業，娯楽業,～19歳,16.51,2.63,200.75
2010,01,北海道,N,生活関連サービス業，娯楽業,20～24歳,17.31,11.74,219.46
2010,01,北海道,N,生活関連サービス業，娯楽業,25～29歳,19.53,30.04,264.4
2010,01,北海道,N,生活関連サービス業，娯楽業,30～34歳,21.64,28.98,288.66
2010,01,北海道,N,生活関連サービス業，娯楽業,35～39歳,24.51,37.28,331.4
2010,01,北海道,N,生活関連サービス業，娯楽業,40～44歳,26.71,45.39,365.91
2010,01,北海道,N,生活関連サービス業，娯楽業,45～49歳,28.74,52.26,397.14
2010,01,北海道,N,生活関連サービス業，娯楽業,50～54歳,26.25,43.29,358.29
2010,01,北海道,N,生活関連サービス業，娯楽業,55～59歳,23.52,31.17,313.41
2010,01,北海道,N,生活関連サービス業，娯楽業,60～64歳,19,7.75,235.75
2010,01,北海道,N,生活関連サービス業，娯楽業,65～69歳,15.55,1.99,188.59
2010,01,北海道,N,生活関連サービス業，娯楽業,70歳～,13.87,1.91,168.35
2010,01,北海道,O,教育，学習支援業,年齢計,33.53,114.42,516.78
2010,01,北海道,O,教育，学習支援業,～19歳,-,-,-
2010,01,北海道,O,教育，学習支援業,20～24歳,18.76,39.33,264.45
2010,01,北海道,O,教育，学習支援業,25～29歳,20.67,58.18,306.22
2010,01,北海道,O,教育，学習支援業,30～34歳,27.82,75.27,409.11
2010,01,北海道,O,教育，学習支援業,35～39歳,33.11,106.17,503.49
2010,01,北海道,O,教育，学習支援業,40～44歳,37.85,143.87,598.07
2010,01,北海道,O,教育，学習支援業,45～49歳,38.02,153.82,610.06
2010,01,北海道,O,教育，学習支援業,50～54歳,43.25,150.77,669.77
2010,01,北海道,O,教育，学習支援業,55～59歳,44.09,177.3,706.38
2010,01,北海道,O,教育，学習支援業,60～64歳,36.46,136.89,574.41
2010,01,北海道,O,教育，学習支援業,65～69歳,44.72,104.29,640.93
2010,01,北海道,O,教育，学習支援業,70歳～,86,304,1336
2010,01,北海道,P,医療，福祉,年齢計,26.89,69.35,392.03
2010,01,北海道,P,医療，福祉,～19歳,13.99,6.42,174.3
2010,01,北海道,P,医療，福祉,20～24歳,19.42,36.54,269.58
2010,01,北海道,P,医療，福祉,25～29歳,22.54,57.91,328.39
2010,01,北海道,P,医療，福祉,30～34歳,25.67,64.32,372.36
2010,01,北海道,P,医療，福祉,35～39歳,29.42,78.12,431.16
2010,01,北海道,P,医療，福祉,40～44歳,29.25,72.53,423.53
2010,01,北海道,P,医療，福祉,45～49歳,27.43,82.76,411.92
2010,01,北海道,P,医療，福祉,50～54歳,33.38,87.74,488.3
2010,01,北海道,P,医療，福祉,55～59歳,29.01,85.8,433.92
2010,01,北海道,P,医療，福祉,60～64歳,28.07,73.19,410.03
2010,01,北海道,P,医療，福祉,65～69歳,35.87,79.41,509.85
2010,01,北海道,P,医療，福祉,70歳～,50.49,33.42,639.3
2010,01,北海道,Q,複合サービス事業,年齢計,25.51,119.73,425.85
2010,01,北海道,Q,複合サービス事業,～19歳,14.79,32.48,209.96
2010,01,北海道,Q,複合サービス事業,20～24歳,16.07,63.74,256.58
2010,01,北海道,Q,複合サービス事業,25～29歳,17.77,84.62,297.86
2010,01,北海道,Q,複合サービス事業,30～34歳,22.51,119.03,389.15
2010,01,北海道,Q,複合サービス事業,35～39歳,25.21,124.96,427.48
2010,01,北海道,Q,複合サービス事業,40～44歳,30.85,165.19,535.39
2010,01,北海道,Q,複合サービス事業,45～49歳,32.59,167.08,558.16
2010,01,北海道,Q,複合サービス事業,50～54歳,34.64,156.6,572.28
2010,01,北海道,Q,複合サービス事業,55～59歳,32.76,137.25,530.37
2010,01,北海道,Q,複合サービス事業,60～64歳,27.98,44.42,380.18
2010,01,北海道,Q,複合サービス事業,65～69歳,21.68,54.33,314.49
2010,01,北海道,Q,複合サービス事業,70歳～,-,-,-
2010,01,北海道,R,サービス業（他に分類されないもの）,年齢計,22.09,45.79,310.87
2010,01,北海道,R,サービス業（他に分類されないもの）,～19歳,15.88,12.01,202.57
2010,01,北海道,R,サービス業（他に分類されないもの）,20～24歳,16.26,21.15,216.27
2010,01,北海道,R,サービス業（他に分類されないもの）,25～29歳,19.42,39.16,272.2
2010,01,北海道,R,サービス業（他に分類されないもの）,30～34歳,20.75,43.26,292.26
2010,01,北海道,R,サービス業（他に分類されないもの）,35～39歳,22.44,52.15,321.43
2010,01,北海道,R,サービス業（他に分類されないもの）,40～44歳,23.85,57.69,343.89
2010,01,北海道,R,サービス業（他に分類されないもの）,45～49歳,24.55,56.53,351.13
2010,01,北海道,R,サービス業（他に分類されないもの）,50～54歳,24.99,52.31,352.19
2010,01,北海道,R,サービス業（他に分類されないもの）,55～59歳,24.03,51.73,340.09
2010,01,北海道,R,サービス業（他に分類されないもの）,60～64歳,19.95,28.28,267.68
2010,01,北海道,R,サービス業（他に分類されないもの）,65～69歳,15.28,14.42,197.78
2010,01,北海道,R,サービス業（他に分類されないもの）,70歳～,18.03,27.79,244.15
2010,02,青森県,C,鉱業，採石業，砂利採取業,年齢計,21.53,41.74,300.1
2010,02,青森県,C,鉱業，採石業，砂利採取業,～19歳,13.81,39.26,204.98
2010,02,青森県,C,鉱業，採石業，砂利採取業,20～24歳,16.27,44.07,239.31
2010,02,青森県,C,鉱業，採石業，砂利採取業,25～29歳,20.23,25.08,267.84
2010,02,青森県,C,鉱業，採石業，砂利採取業,30～34歳,18.47,36.42,258.06
2010,02,青森県,C,鉱業，採石業，砂利採取業,35～39歳,20.71,29.91,278.43
2010,02,青森県,C,鉱業，採石業，砂利採取業,40～44歳,22.68,44.3,316.46
2010,02,青森県,C,鉱業，採石業，砂利採取業,45～49歳,22.12,51.6,317.04
2010,02,青森県,C,鉱業，採石業，砂利採取業,50～54歳,22.99,34.5,310.38
2010,02,青森県,C,鉱業，採石業，砂利採取業,55～59歳,22.99,41.52,317.4
2010,02,青森県,C,鉱業，採石業，砂利採取業,60～64歳,19.5,50.76,284.76
2010,02,青森県,C,鉱業，採石業，砂利採取業,65～69歳,-,-,-
2010,02,青森県,C,鉱業，採石業，砂利採取業,70歳～,-,-,-
2010,02,青森県,D,建設業,年齢計,24.56,20.93,315.65
2010,02,青森県,D,建設業,～19歳,15.09,5.66,186.74
2010,02,青森県,D,建設業,20～24歳,17.89,14.82,229.5
2010,02,青森県,D,建設業,25～29歳,20.22,18.29,260.93
2010,02,青森県,D,建設業,30～34歳,21.71,24.85,285.37
2010,02,青森県,D,建設業,35～39歳,24.12,21.28,310.72
2010,02,青森県,D,建設業,40～44歳,24.45,26.96,320.36
2010,02,青森県,D,建設業,45～49歳,28.83,20.2,366.16
2010,02,青森県,D,建設業,50～54歳,28.46,21.28,362.8
2010,02,青森県,D,建設業,55～59歳,27.53,21.18,351.54
2010,02,青森県,D,建設業,60～64歳,23.46,16.71,298.23
2010,02,青森県,D,建設業,65～69歳,17.39,7.06,215.74
2010,02,青森県,D,建設業,70歳～,-,-,-
2010,02,青森県,E,製造業,年齢計,20.16,38.01,279.93
2010,02,青森県,E,製造業,～19歳,15.35,12.22,196.42
2010,02,青森県,E,製造業,20～24歳,16.67,28.61,228.65
2010,02,青森県,E,製造業,25～29歳,18.11,33.3,250.62
2010,02,青森県,E,製造業,30～34歳,19.72,34.84,271.48
2010,02,青森県,E,製造業,35～39歳,21.54,45.41,303.89
2010,02,青森県,E,製造業,40～44歳,23.7,51.38,335.78
2010,02,青森県,E,製造業,45～49歳,21.3,44.3,299.9
2010,02,青森県,E,製造業,50～54歳,21.36,40.73,297.05
2010,02,青森県,E,製造業,55～59歳,21.13,38.41,291.97
2010,02,青森県,E,製造業,60～64歳,16.26,22.26,217.38
2010,02,青森県,E,製造業,65～69歳,15.4,13.74,198.54
2010,02,青森県,E,製造業,70歳～,17.63,12,223.56
2010,02,青森県,F,電気・ガス・熱供給・水道業,年齢計,35.06,134.05,554.77
2010,02,青森県,F,電気・ガス・熱供給・水道業,～19歳,18.74,61.59,286.47
2010,02,青森県,F,電気・ガス・熱供給・水道業,20～24歳,21.16,76.61,330.53
2010,02,青森県,F,電気・ガス・熱供給・水道業,25～29歳,26.66,103.27,423.19
2010,02,青森県,F,電気・ガス・熱供給・水道業,30～34歳,31.68,123.51,503.67
2010,02,青森県,F,電気・ガス・熱供給・水道業,35～39歳,44.12,166.28,695.72
2010,02,青森県,F,電気・ガス・熱供給・水道業,40～44歳,47.03,183.17,747.53
2010,02,青森県,F,電気・ガス・熱供給・水道業,45～49歳,52.21,191.11,817.63
2010,02,青森県,F,電気・ガス・熱供給・水道業,50～54歳,50.23,201.25,804.01
2010,02,青森県,F,電気・ガス・熱供給・水道業,55～59歳,53.88,244.34,890.9
2010,02,青森県,F,電気・ガス・熱供給・水道業,60～64歳,22.63,45.16,316.72
2010,02,青森県,F,電気・ガス・熱供給・水道業,65～69歳,-,-,-
2010,02,青森県,F,電気・ガス・熱供給・水道業,70歳～,-,-,-
2010,02,青森県,G,情報通信業,年齢計,32.19,115.62,501.9
2010,02,青森県,G,情報通信業,～19歳,16.18,38.58,232.74
2010,02,青森県,G,情報通信業,20～24歳,19.46,38.48,272
2010,02,青森県,G,情報通信業,25～29歳,22.39,83.53,352.21
2010,02,青森県,G,情報通信業,30～34歳,26.01,92.11,404.23
2010,02,青森県,G,情報通信業,35～39歳,29.63,103.35,458.91
2010,02,青森県,G,情報通信業,40～44歳,36.25,143.5,578.5
2010,02,青森県,G,情報通信業,45～49歳,36.6,126.45,565.65
2010,02,青森県,G,情報通信業,50～54歳,44.69,176.77,713.05
2010,02,青森県,G,情報通信業,55～59歳,42.83,153.07,667.03
2010,02,青森県,G,情報通信業,60～64歳,27.22,79.77,406.41
2010,02,青森県,G,情報通信業,65～69歳,28.64,10,353.68
2010,02,青森県,G,情報通信業,70歳～,-,-,-
2010,02,青森県,H,運輸業，郵便業,年齢計,20.53,32.6,278.96
2010,02,青森県,H,運輸業，郵便業,～19歳,15.27,0,183.24
2010,02,青森県,H,運輸業，郵便業,20～24歳,15.67,23.56,211.6
2010,02,青森県,H,運輸業，郵便業,25～29歳,17.58,27.91,238.87
2010,02,青森県,H,運輸業，郵便業,30～34歳,17.63,18.89,230.45
2010,02,青森県,H,運輸業，郵便業,35～39歳,19.02,26.25,254.49
2010,02,青森県,H,運輸業，郵便業,40～44歳,21.57,30.21,289.05
2010,02,青森県,H,運輸業，郵便業,45～49歳,23.18,45.8,323.96
2010,02,青森県,H,運輸業，郵便業,50～54歳,25.21,62.73,365.25
2010,02,青森県,H,運輸業，郵便業,55～59歳,21.01,28.95,281.07
2010,02,青森県,H,運輸業，郵便業,60～64歳,14.95,4.33,183.73
2010,02,青森県,H,運輸業，郵便業,65～69歳,13.01,2.21,158.33
2010,02,青森県,H,運輸業，郵便業,70歳～,-,-,-
2010,02,青森県,I,卸売業，小売業,年齢計,23.58,43.99,326.95
2010,02,青森県,I,卸売業，小売業,～19歳,13.82,1.63,167.47
2010,02,青森県,I,卸売業，小売業,20～24歳,15.87,19.52,209.96
2010,02,青森県,I,卸売業，小売業,25～29歳,17.98,35.24,251
2010,02,青森県,I,卸売業，小売業,30～34歳,21.09,44.36,297.44
2010,02,青森県,I,卸売業，小売業,35～39歳,23.16,43.51,321.43
2010,02,青森県,I,卸売業，小売業,40～44歳,25.25,52.75,355.75
2010,02,青森県,I,卸売業，小売業,45～49歳,27.44,58.75,388.03
2010,02,青森県,I,卸売業，小売業,50～54歳,29.07,46.14,394.98
2010,02,青森県,I,卸売業，小売業,55～59歳,28.73,52.12,396.88
2010,02,青森県,I,卸売業，小売業,60～64歳,17.3,11.55,219.15
2010,02,青森県,I,卸売業，小売業,65～69歳,15.86,9,199.32
2010,02,青森県,I,卸売業，小売業,70歳～,13.78,0,165.36
2010,02,青森県,J,金融業，保険業,年齢計,31.53,109.86,488.22
2010,02,青森県,J,金融業，保険業,～19歳,12.68,13.77,165.93
2010,02,青森県,J,金融業，保険業,20～24歳,17.97,52.34,267.98
2010,02,青森県,J,金融業，保険業,25～29歳,20.07,67.81,308.65
2010,02,青森県,J,金融業，保険業,30～34歳,24.45,92.15,385.55
2010,02,青森県,J,金融業，保険業,35～39歳,29.41,99.98,452.9
2010,02,青森県,J,金融業，保険業,40～44歳,33.22,118.12,516.76
2010,02,青森県,J,金融業，保険業,45～49歳,42.1,158.82,664.02
2010,02,青森県,J,金融業，保険業,50～54歳,43.17,158.39,676.43
2010,02,青森県,J,金融業，保険業,55～59歳,35.8,125.71,555.31
2010,02,青森県,J,金融業，保険業,60～64歳,29.52,54.77,409.01
2010,02,青森県,J,金融業，保険業,65～69歳,29.78,71.04,428.4
2010,02,青森県,J,金融業，保険業,70歳～,-,-,-
2010,02,青森県,K,不動産業，物品賃貸業,年齢計,24.52,62.81,357.05
2010,02,青森県,K,不動産業，物品賃貸業,～19歳,14,20.14,188.14
2010,02,青森県,K,不動産業，物品賃貸業,20～24歳,16.95,31.5,234.9
2010,02,青森県,K,不動産業，物品賃貸業,25～29歳,19.18,41.99,272.15
2010,02,青森県,K,不動産業，物品賃貸業,30～34歳,24.37,70.12,362.56
2010,02,青森県,K,不動産業，物品賃貸業,35～39歳,26.21,69.98,384.5
2010,02,青森県,K,不動産業，物品賃貸業,40～44歳,28.48,88.42,430.18
2010,02,青森県,K,不動産業，物品賃貸業,45～49歳,29.17,63.74,413.78
2010,02,青森県,K,不動産業，物品賃貸業,50～54歳,30.52,73.27,439.51
2010,02,青森県,K,不動産業，物品賃貸業,55～59歳,29.66,58.5,414.42
2010,02,青森県,K,不動産業，物品賃貸業,60～64歳,21.43,74.09,331.25
2010,02,青森県,K,不動産業，物品賃貸業,65～69歳,13.73,3.93,168.69
2010,02,青森県,K,不動産業，物品賃貸業,70歳～,12.2,0,146.4
2010,02,青森県,L,学術研究，専門・技術サービス業,年齢計,27.42,59.58,388.62
2010,02,青森県,L,学術研究，専門・技術サービス業,～19歳,15.5,0,186
2010,02,青森県,L,学術研究，専門・技術サービス業,20～24歳,16.18,28.77,222.93
2010,02,青森県,L,学術研究，専門・技術サービス業,25～29歳,20.2,28.49,270.89
2010,02,青森県,L,学術研究，専門・技術サービス業,30～34歳,21.82,43.23,305.07
2010,02,青森県,L,学術研究，専門・技術サービス業,35～39歳,25.96,59.2,370.72
2010,02,青森県,L,学術研究，専門・技術サービス業,40～44歳,27.66,62.86,394.78
2010,02,青森県,L,学術研究，専門・技術サービス業,45～49歳,32.15,75.11,460.91
2010,02,青森県,L,学術研究，専門・技術サービス業,50～54歳,35.58,80.36,507.32
2010,02,青森県,L,学術研究，専門・技術サービス業,55～59歳,37.71,94.91,547.43
2010,02,青森県,L,学術研究，専門・技術サービス業,60～64歳,32.5,79.92,469.92
2010,02,青森県,L,学術研究，専門・技術サービス業,65～69歳,21.16,16.2,270.12
2010,02,青森県,L,学術研究，専門・技術サービス業,70歳～,8.86,0,106.32
2010,02,青森県,M,宿泊業，飲食サービス業,年齢計,18.27,16.71,235.95
2010,02,青森県,M,宿泊業，飲食サービス業,～19歳,12.87,4.86,159.3
2010,02,青森県,M,宿泊業，飲食サービス業,20～24歳,14.26,7.18,178.3
2010,02,青森県,M,宿泊業，飲食サービス業,25～29歳,14.83,8.15,186.11
2010,02,青森県,M,宿泊業，飲食サービス業,30～34歳,17.72,18.27,230.91
2010,02,青森県,M,宿泊業，飲食サービス業,35～39歳,21.17,39.05,293.09
2010,02,青森県,M,宿泊業，飲食サービス業,40～44歳,20.21,16.39,258.91
2010,02,青森県,M,宿泊業，飲食サービス業,45～49歳,19.24,9.46,240.34
2010,02,青森県,M,宿泊業，飲食サービス業,50～54歳,20.96,26.63,278.15
2010,02,青森県,M,宿泊業，飲食サービス業,55～59歳,20.01,14.5,254.62
2010,02,青森県,M,宿泊業，飲食サービス業,60～64歳,16.74,4.37,205.25
2010,02,青森県,M,宿泊業，飲食サービス業,65～69歳,16.09,1.25,194.33
2010,02,青森県,M,宿泊業，飲食サービス業,70歳～,14.76,2,179.12
2010,02,青森県,N,生活関連サービス業，娯楽業,年齢計,19.52,20.06,254.3
2010,02,青森県,N,生活関連サービス業，娯楽業,～19歳,15.45,7.4,192.8
2010,02,青森県,N,生活関連サービス業，娯楽業,20～24歳,16.28,8.88,204.24
